address,latitude,longitude
Avenue Eugène-Rambert 30,46.51520327662089,6.6493348956611
Rue Saint-Martin 18,46.52220404621303,6.637562580611684
Rue du Simplon 3b,46.51535804532454,6.631462493367252
Avenue de l'Eglise-Anglaise 10,46.51369015250001,6.631495123095268
Avenue de Riant-Mont 1,46.52554636413297,6.63135637735961
Chemin Louis-Boissonnet 38,46.54195277151507,6.64435954941343
Chemin Isabelle-de-Montolieu 185,46.54466918957036,6.644329590485521
Avenue de la Sallaz 22,46.52811810006794,6.642524473317246
Avenue de Riant-Mont 17,46.52602318131901,6.632156819523855
Rue de la Borde 23,46.52897988279538,6.6321198426936325
Place de la Palud 11,46.522278723022126,6.632220780433938
Place de la Riponne 7,46.52388605787665,6.632197595089147
Chemin Eugène-Grasset 14,46.51232752089174,6.632381188969578
